race_id,venue_slug,date,race_no,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,close_time,true_line,n_lines,n_players
6220260803020006,hiroshima,2026-08-04,6,1,和田 誠寿  広,島,35,103,A1,追,3.92,92.96,◎,6,3.8,3.8,11.5,0,1,10:15,4-1-5/7-2/3-6,3,7
6220260803020006,hiroshima,2026-08-04,6,2,那須 久幸  福,岡,54,71,A1,追,3.92,94.88,×,1,4.0,16.0,36.0,0,0,10:15,4-1-5/7-2/3-6,3,7
6220260803020006,hiroshima,2026-08-04,6,3,西本 直大  大,阪,43,92,A2,両,3.92,85.88,△,4,16.6,44.4,50.0,2,3,10:15,4-1-5/7-2/3-6,3,7
6220260803020006,hiroshima,2026-08-04,6,4,船瀬 惇平  広,島,32,111,A1,逃,3.93,91.55,○,5,22.2,37.0,59.2,5,0,10:15,4-1-5/7-2/3-6,3,7
6220260803020006,hiroshima,2026-08-04,6,5,石丸 寛之  岡,山,52,76,A1,追,3.92,87.85,注,2,9.5,33.3,57.1,0,1,10:15,4-1-5/7-2/3-6,3,7
6220260803020006,hiroshima,2026-08-04,6,6,田中 雅史  愛,知,49,79,A2,追,3.93,83.12,,0,12.5,25.0,37.5,0,0,10:15,4-1-5/7-2/3-6,3,7
6220260803020006,hiroshima,2026-08-04,6,7,利根 正明  大,分,36,97,A1,逃,3.92,85.61,▲,3,14.2,28.5,52.3,2,4,10:15,4-1-5/7-2/3-6,3,7
6220260803020007,hiroshima,2026-08-04,7,1,青井 賢治  徳,島,50,81,A1,追,3.92,91.88,○,5,38.8,61.1,66.6,0,0,10:35,4-3/5-1-7/6-2,3,7
6220260803020007,hiroshima,2026-08-04,7,2,中村 雅仁  熊,本,44,90,A1,追,3.93,91.66,×,1,6.6,33.3,60.0,0,0,10:35,4-3/5-1-7/6-2,3,7
6220260803020007,hiroshima,2026-08-04,7,3,山口 智弘  愛,知,36,99,A1,追,3.93,89.04,△,4,25.0,41.6,58.3,0,0,10:35,4-3/5-1-7/6-2,3,7
