month,race_id,variant,actual,current,raw,mark,market_fav,market_first,actual_order_odds,market_fav_odds,winner_role,second_role,third_role,winner_score,second_score,third_score,winner_mark,second_mark,third_mark
2026_01,6220251231030007,BASE,5-3-7,7-3-5,3-7-5,5-7-3,5-7-3,5,49.2,16.3,popular_pos2,solo,popular_pos3plus,91.68,96.29,95.4,6.0,3.0,4.0
2026_01,6220251231030007,OH_HIGH,5-3-7,7-3-5,3-7-5,5-7-3,5-7-3,5,49.2,16.3,popular_pos2,solo,popular_pos3plus,91.68,96.29,95.4,6.0,3.0,4.0
2026_01,5620251231030004,BASE,3-1-5,1-5-3,5-3-1,1-3-5,3-5-1,3,74.8,50.5,other_head,popular_pos2,other_pos2,90.88,90.74,93.37,4.0,5.0,1.0
2026_01,5620251231030004,OH_HIGH,3-1-5,1-5-3,5-3-1,1-3-5,3-5-1,3,74.8,50.5,other_head,popular_pos2,other_pos2,90.88,90.74,93.37,4.0,5.0,1.0
2026_02,3620260130030004,BASE,3-7-1,1-7-3,1-7-3,1-7-3,3-7-1,3,62.7,62.7,other_head,other_pos2,popular_pos2,85.41,87.73,92.93,1.0,2.0,6.0
2026_02,3620260130030004,OH_HIGH,3-7-1,1-7-3,1-7-3,1-7-3,3-7-1,3,62.7,62.7,other_head,other_pos2,popular_pos2,85.41,87.73,92.93,1.0,2.0,6.0
2026_02,2320260131020007,OH_HIGH,2-7-1,2-1-7,2-1-7,2-7-1,2-1-7,2,205.7,126.6,other_head,other_head,popular_pos2,97.77,92.55,94.73,6.0,3.0,2.0
2026_03,6220260228020001,OH_HIGH,1-5-2,2-5-1,2-5-1,5-1-2,5-1-2,5,32.4,16.7,other_head,other_pos2,popular_pos2,81.83,84.78,86.2,5.0,6.0,1.0
2026_03,2720260301010009,OH_HIGH,3-7-5,7-5-3,5-7-3,7-3-5,3-5-7,5,79.4,36.4,other_head,popular_pos2,other_pos2,83.93,85.35,87.0,4.0,5.0,1.0
2026_03,5620260301010003,BASE,2-5-1,2-1-5,1-2-5,2-5-1,2-1-5,2,73.7,66.3,popular_pos2,popular_pos3plus,other_pos2,87.75,81.57,88.25,6.0,4.0,1.0
