month,race_id,variant,policy,target,head_bust,candidate_sets,actual,set_match,eligible_count,picks,pick_odds,ticket_count,bet,hit,stake,pay
2025_11,3520251101030004,BASE,MKT2,3,1.0,2-5-7,5-2-4,0.0,5,2-5-7|5-7-2,65.50|243.20,2,1,0,200,0
2025_11,3520251101030004,OH_HIGH,MKT1,3,1.0,1-2-5,5-2-4,0.0,4,5-1-2,36.10,1,1,0,100,0
2025_11,3520251101030004,OH_HIGH,MKT2,3,1.0,1-2-5,5-2-4,0.0,4,5-1-2|2-1-5,36.10|94.60,2,1,0,200,0
2025_11,3520251101010005,BASE,MKT1,5,0.0,,5-3-2,0.0,0,,,0,0,0,0,0
2025_11,3520251101010005,BASE,MKT2,5,0.0,,5-3-2,0.0,0,,,0,0,0,0,0
2025_11,3520251101010005,OH_HIGH,MKT1,5,0.0,1-3-7|1-2-7,5-3-2,0.0,12,3-7-1,53.90,1,1,0,100,0
2025_11,3520251101010005,OH_HIGH,MKT2,5,0.0,1-3-7|1-2-7,5-3-2,0.0,12,3-7-1|3-1-7,53.90|143.70,2,1,0,200,0
2025_11,3520251101030011,BASE,MKT1,2,0.0,3-4-7,6-2-5,0.0,5,4-7-3,43.10,1,1,0,100,0
2025_11,3520251101030011,BASE,MKT2,2,0.0,3-4-7,6-2-5,0.0,5,4-7-3|7-4-3,43.10|94.30,2,1,0,200,0
2025_11,3520251101030011,OH_HIGH,MKT1,2,0.0,4-5-7,6-2-5,0.0,6,4-7-5,54.40,1,1,0,100,0
2025_11,3520251101030011,OH_HIGH,MKT2,2,0.0,4-5-7,6-2-5,0.0,6,4-7-5|4-5-7,54.40|73.20,2,1,0,200,0
2025_11,5620251101030007,BASE,MKT1,4,0.0,2-3-5,5-2-4,0.0,5,2-5-3,40.20,1,1,0,100,0
2025_11,5620251101030007,BASE,MKT2,4,0.0,2-3-5,5-2-4,0.0,5,2-5-3|5-3-2,40.20|84.70,2,1,0,200,0
2025_11,5620251101030007,OH_HIGH,MKT1,4,0.0,2-3-5,5-2-4,0.0,5,2-5-3,40.20,1,1,0,100,0
2025_11,5620251101030007,OH_HIGH,MKT2,4,0.0,2-3-5,5-2-4,0.0,5,2-5-3|5-3-2,40.20|84.70,2,1,0,200,0
2025_11,5620251101010008,BASE,MKT1,4,0.0,,4-5-1,0.0,0,,,0,0,0,0,0
2025_11,5620251101010008,BASE,MKT2,4,0.0,,4-5-1,0.0,0,,,0,0,0,0,0
2025_11,5620251101010008,OH_HIGH,MKT1,4,0.0,1-3-5,4-5-1,0.0,6,1-5-3,37.80,1,1,0,100,0
2025_11,5620251101010008,OH_HIGH,MKT2,4,0.0,1-3-5,4-5-1,0.0,6,1-5-3|5-1-3,37.80|40.10,2,1,0,200,0
2025_11,5620251101020008,BASE,MKT1,1,0.0,2-4-5,1-4-3,0.0,3,5-2-4,31.80,1,1,0,100,0
2025_11,5620251101020008,BASE,MKT2,1,0.0,2-4-5,1-4-3,0.0,3,5-2-4|5-4-2,31.80|32.10,2,1,0,200,0
2025_11,5620251101020008,OH_HIGH,MKT1,1,0.0,2-4-5,1-4-3,0.0,3,5-2-4,31.80,1,1,0,100,0
2025_11,5620251101020008,OH_HIGH,MKT2,1,0.0,2-4-5,1-4-3,0.0,3,5-2-4|5-4-2,31.80|32.10,2,1,0,200,0
2025_11,5620251101010009,BASE,MKT1,7,0.0,1-2-4,7-2-5,0.0,6,1-2-4,89.60,1,1,0,100,0
2025_11,5620251101010009,BASE,MKT2,7,0.0,1-2-4,7-2-5,0.0,6,1-2-4|1-4-2,89.60|90.50,2,1,0,200,0
2025_11,5620251101010009,OH_HIGH,MKT1,7,0.0,1-2-4,7-2-5,0.0,6,1-2-4,89.60,1,1,0,100,0
2025_11,5620251101010009,OH_HIGH,MKT2,7,0.0,1-2-4,7-2-5,0.0,6,1-2-4|1-4-2,89.60|90.50,2,1,0,200,0
2025_11,5620251101020009,BASE,MKT1,2,0.0,4-5-7|1-5-7,2-1-5,0.0,12,7-1-5,48.70,1,1,0,100,0
2025_11,5620251101020009,BASE,MKT2,2,0.0,4-5-7|1-5-7,2-1-5,0.0,12,7-1-5|7-5-1,48.70|66.40,2,1,0,200,0
2025_11,5620251101020009,OH_HIGH,MKT1,2,0.0,4-5-7|1-5-7,2-1-5,0.0,12,7-1-5,48.70,1,1,0,100,0
2025_11,5620251101020009,OH_HIGH,MKT2,2,0.0,4-5-7|1-5-7,2-1-5,0.0,12,7-1-5|7-5-1,48.70|66.40,2,1,0,200,0
2025_11,5620251101010010,BASE,MKT1,3,0.0,2-5-7,3-5-7,0.0,6,5-2-7,115.60,1,1,0,100,0
2025_11,5620251101010010,BASE,MKT2,3,0.0,2-5-7,3-5-7,0.0,6,5-2-7|5-7-2,115.60|159.90,2,1,0,200,0
2025_11,5620251101010010,OH_HIGH,MKT1,3,0.0,2-5-7|4-5-7,3-5-7,0.0,12,5-2-7,115.60,1,1,0,100,0
2025_11,5620251101010010,OH_HIGH,MKT2,3,0.0,2-5-7|4-5-7,3-5-7,0.0,12,5-2-7|5-7-2,115.60|159.90,2,1,0,200,0
2025_11,5620251101030010,BASE,MKT1,3,0.0,2-5-6,6-1-3,0.0,6,6-5-2,51.30,1,1,0,100,0
2025_11,5620251101030010,BASE,MKT2,3,0.0,2-5-6,6-1-3,0.0,6,6-5-2|5-6-2,51.30|66.00,2,1,0,200,0
2025_11,5620251101030010,OH_HIGH,MKT1,3,0.0,2-5-6,6-1-3,0.0,6,6-5-2,51.30,1,1,0,100,0
2025_11,5620251101030010,OH_HIGH,MKT2,3,0.0,2-5-6,6-1-3,0.0,6,6-5-2|5-6-2,51.30|66.00,2,1,0,200,0
2025_11,5620251101020011,BASE,MKT1,7,1.0,1-3-4,2-5-3,0.0,5,4-1-3,39.90,1,1,0,100,0
2025_11,5620251101020011,BASE,MKT2,7,1.0,1-3-4,2-5-3,0.0,5,4-1-3|1-3-4,39.90|62.40,2,1,0,200,0
2025_11,5620251101020011,OH_HIGH,MKT1,7,1.0,1-3-4,2-5-3,0.0,5,4-1-3,39.90,1,1,0,100,0
2025_11,5620251101020011,OH_HIGH,MKT2,7,1.0,1-3-4,2-5-3,0.0,5,4-1-3|1-3-4,39.90|62.40,2,1,0,200,0
2025_11,5620251101030011,BASE,MKT1,7,0.0,,3-7-2,0.0,0,,,0,0,0,0,0
2025_11,5620251101030011,BASE,MKT2,7,0.0,,3-7-2,0.0,0,,,0,0,0,0,0
2025_11,5620251101030011,OH_HIGH,MKT1,7,0.0,2-3-4,3-7-2,0.0,6,3-4-2,39.30,1,1,0,100,0
2025_11,5620251101030011,OH_HIGH,MKT2,7,0.0,2-3-4,3-7-2,0.0,6,3-4-2|3-2-4,39.30|42.20,2,1,0,200,0
2025_11,1220251103010001,BASE,MKT1,1,1.0,4-5-7,5-3-2,0.0,6,5-4-7,45.70,1,1,0,100,0
2025_11,1220251103010001,BASE,MKT2,1,1.0,4-5-7,5-3-2,0.0,6,5-4-7|5-7-4,45.70|52.40,2,1,0,200,0
2025_11,1220251103010001,OH_HIGH,MKT1,1,1.0,3-4-5|4-5-7,5-3-2,0.0,12,5-4-7,45.70,1,1,0,100,0
2025_11,1220251103010001,OH_HIGH,MKT2,1,1.0,3-4-5|4-5-7,5-3-2,0.0,12,5-4-7|5-7-4,45.70|52.40,2,1,0,200,0
2025_11,1220251103030001,BASE,MKT1,1,1.0,3-5-7,3-2-7,0.0,6,3-5-7,88.40,1,1,0,100,0
2025_11,1220251103030001,BASE,MKT2,1,1.0,3-5-7,3-2-7,0.0,6,3-5-7|3-7-5,88.40|95.30,2,1,0,200,0
2025_11,1220251103030001,OH_HIGH,MKT1,1,1.0,3-5-7,3-2-7,0.0,6,3-5-7,88.40,1,1,0,100,0
2025_11,1220251103030001,OH_HIGH,MKT2,1,1.0,3-5-7,3-2-7,0.0,6,3-5-7|3-7-5,88.40|95.30,2,1,0,200,0
2025_11,1220251103010002,BASE,MKT1,4,1.0,1-5-7,6-5-3,0.0,6,1-7-5,55.90,1,1,0,100,0
2025_11,1220251103010002,BASE,MKT2,4,1.0,1-5-7,6-5-3,0.0,6,1-7-5|1-5-7,55.90|60.40,2,1,0,200,0
2025_11,1220251103010002,OH_HIGH,MKT1,4,1.0,1-2-5,6-5-3,0.0,6,5-2-1,31.50,1,1,0,100,0
2025_11,1220251103010002,OH_HIGH,MKT2,4,1.0,1-2-5,6-5-3,0.0,6,5-2-1|2-5-1,31.50|39.70,2,1,0,200,0
2025_11,1220251103020002,BASE,MKT1,4,0.0,1-5-7,1-4-7,0.0,6,5-1-7,94.30,1,1,0,100,0
2025_11,1220251103020002,BASE,MKT2,4,0.0,1-5-7,1-4-7,0.0,6,5-1-7|5-7-1,94.30|113.00,2,1,0,200,0
2025_11,1220251103020002,OH_HIGH,MKT1,4,0.0,1-5-7|1-2-5,1-4-7,0.0,12,5-2-1,51.40,1,1,0,100,0
2025_11,1220251103020002,OH_HIGH,MKT2,4,0.0,1-5-7|1-2-5,1-4-7,0.0,12,5-2-1|5-1-2,51.40|58.00,2,1,0,200,0
2025_11,1220251103030002,BASE,MKT1,4,0.0,2-5-7,7-4-2,0.0,5,5-2-7,33.00,1,1,0,100,0
2025_11,1220251103030002,BASE,MKT2,4,0.0,2-5-7,7-4-2,0.0,5,5-2-7|2-5-7,33.00|35.20,2,1,0,200,0
2025_11,1220251103030002,OH_HIGH,MKT1,4,0.0,2-5-7,7-4-2,0.0,5,5-2-7,33.00,1,1,0,100,0
2025_11,1220251103030002,OH_HIGH,MKT2,4,0.0,2-5-7,7-4-2,0.0,5,5-2-7|2-5-7,33.00|35.20,2,1,0,200,0
2025_11,1220251103010003,BASE,MKT1,3,1.0,4-5-7,5-7-1,0.0,6,7-4-5,80.90,1,1,0,100,0
2025_11,1220251103010003,BASE,MKT2,3,1.0,4-5-7,5-7-1,0.0,6,7-4-5|7-5-4,80.90|96.70,2,1,0,200,0
2025_11,1220251103010003,OH_HIGH,MKT1,3,1.0,1-4-7,5-7-1,0.0,6,7-4-1,123.00,1,1,0,100,0
2025_11,1220251103010003,OH_HIGH,MKT2,3,1.0,1-4-7,5-7-1,0.0,6,7-4-1|7-1-4,123.00|141.40,2,1,0,200,0
2025_11,1220251103010005,BASE,MKT1,3,0.0,1-2-7,3-7-1,0.0,6,7-1-2,65.30,1,1,0,100,0
2025_11,1220251103010005,BASE,MKT2,3,0.0,1-2-7,3-7-1,0.0,6,7-1-2|7-2-1,65.30|87.60,2,1,0,200,0
2025_11,1220251103010005,OH_HIGH,MKT1,3,0.0,1-5-7,3-7-1,0.0,6,7-1-5,201.60,1,1,0,100,0
2025_11,1220251103010005,OH_HIGH,MKT2,3,0.0,1-5-7,3-7-1,0.0,6,7-1-5|7-5-1,201.60|218.30,2,1,0,200,0
2025_11,1220251103020005,BASE,MKT1,5,1.0,1-2-4|1-2-3,2-4-3,0.0,11,4-2-1,36.00,1,1,0,100,0
2025_11,1220251103020005,BASE,MKT2,5,1.0,1-2-4|1-2-3,2-4-3,0.0,11,4-2-1|2-1-4,36.00|36.70,2,1,0,200,0
2025_11,1220251103020005,OH_HIGH,MKT1,5,1.0,,2-4-3,0.0,0,,,0,0,0,0,0
2025_11,1220251103020005,OH_HIGH,MKT2,5,1.0,,2-4-3,0.0,0,,,0,0,0,0,0
2025_11,1220251103030005,BASE,MKT1,3,1.0,1-2-7,1-2-5,0.0,6,1-7-2,32.20,1,1,0,100,0
2025_11,1220251103030005,BASE,MKT2,3,1.0,1-2-7,1-2-5,0.0,6,1-7-2|1-2-7,32.20|35.00,2,1,0,200,0
2025_11,1220251103030005,OH_HIGH,MKT1,3,1.0,1-2-7,1-2-5,0.0,6,1-7-2,32.20,1,1,0,100,0
