month,race_id,trio,ticket,odds,market_p,actual_hit,score_order,winner_score_rank,line_pos_order,winner_line_pos,running_style_order,winner_running_style,escape_count,winner_is_escape,winner_score_rank_x_line_pos,group_score_percentile
2025_01,1320250104010002,2-5-7,7-5-2,142.6,0.005254205822860664,0,1-3-2,1,2-1-2,2,追-両-両,追,0,0,1x2,0.05714285714285714
2025_01,1320250104010002,3-4-7,3-4-7,2211.1,0.0003388583738139074,0,2-3-1,2,2-1-2,2,追-逃-追,追,1,0,2x2,0.42857142857142855
2025_01,1320250104010002,3-4-7,3-7-4,1792.8,0.00041792154748992115,0,2-1-3,2,2-2-1,2,追-追-逃,追,1,0,2x2,0.42857142857142855
2025_01,1320250104010002,3-4-7,4-3-7,1474.1,0.000508276066983197,0,3-2-1,3,1-2-2,1,逃-追-追,逃,1,1,3x1,0.42857142857142855
2025_01,1320250104010002,3-4-7,4-7-3,1372.4,0.000545941234581704,0,3-1-2,3,1-2-2,1,逃-追-追,逃,1,1,3x1,0.42857142857142855
2025_01,1320250104010002,3-4-7,7-3-4,956.7,0.0007831606045154495,0,1-2-3,1,2-2-1,2,追-追-逃,追,1,0,1x2,0.42857142857142855
2025_01,1320250104010002,3-4-7,7-4-3,985.1,0.0007605824285249525,0,1-3-2,1,2-1-2,2,追-逃-追,追,1,0,1x2,0.42857142857142855
2025_01,1320250104010002,4-5-7,4-5-7,1047.4,0.0007153425151230959,0,3-2-1,3,1-1-2,1,逃-両-追,逃,1,1,3x1,0.2857142857142857
2025_01,1320250104010002,4-5-7,4-7-5,970.7,0.0007718654067579381,0,3-1-2,3,1-2-1,1,逃-追-両,逃,1,1,3x1,0.2857142857142857
2025_01,1320250104010002,4-5-7,5-4-7,985.1,0.0007605824285249525,0,2-3-1,2,1-1-2,1,両-逃-追,両,1,0,2x1,0.2857142857142857
2025_01,1320250104010002,4-5-7,5-7-4,594.0,0.0012613632160604893,0,2-1-3,2,1-2-1,1,両-追-逃,両,1,0,2x1,0.2857142857142857
2025_01,1320250104010002,4-5-7,7-4-5,705.6,0.0010618618910713303,0,1-3-2,1,2-1-1,2,追-逃-両,追,1,0,1x2,0.2857142857142857
2025_01,1320250104010002,4-5-7,7-5-4,487.7,0.0015362922910394314,0,1-2-3,1,2-1-1,2,追-両-逃,追,1,0,1x2,0.2857142857142857
2025_01,1320250104010002,5-6-7,5-6-7,225.1,0.0033285195483781903,0,2-3-1,2,1-1-2,1,両-逃-追,両,1,0,2x1,0.4
2025_01,1320250104010002,5-6-7,5-7-6,271.8,0.0027566215980129897,0,2-1-3,2,1-2-1,1,両-追-逃,両,1,0,2x1,0.4
2025_01,1320250104010002,5-6-7,6-5-7,167.3,0.004478480276987032,0,3-2-1,3,1-1-2,1,逃-両-追,逃,1,1,3x1,0.4
2025_01,1320250104010002,5-6-7,6-7-5,150.3,0.004985028279041455,0,3-1-2,3,1-2-1,1,逃-追-両,逃,1,1,3x1,0.4
2025_01,1320250104010002,5-6-7,7-5-6,238.0,0.0031481081947055908,0,1-2-3,1,2-1-1,2,追-両-逃,追,1,0,1x2,0.4
2025_01,1320250104010002,5-6-7,7-6-5,169.6,0.004417746169457139,0,1-3-2,1,2-1-1,2,追-逃-両,追,1,0,1x2,0.4
2025_01,1320250104010005,1-2-4,1-2-4,147.0,0.005097631787197204,0,3-1-2,3,2-2-1,2,追-追-両,追,0,0,3x2,0.42857142857142855
2025_01,1320250104010005,1-2-4,1-4-2,86.6,0.008653023934387865,0,3-2-1,3,2-1-2,2,追-両-追,追,0,0,3x2,0.42857142857142855
2025_01,1320250104010005,1-2-4,2-1-4,172.8,0.004336527041192066,0,1-3-2,1,2-2-1,2,追-追-両,追,0,0,1x2,0.42857142857142855
2025_01,1320250104010005,1-2-4,2-4-1,102.9,0.007282331124567436,0,1-2-3,1,2-1-2,2,追-両-追,追,0,0,1x2,0.42857142857142855
2025_01,1320250104010005,1-2-4,4-1-2,51.9,0.014438379050442951,1,2-3-1,2,1-2-2,1,両-追-追,両,0,0,2x1,0.42857142857142855
