month,period,race_id,trio_key,ticket,odds,market_p,actual_hit,return_units,role_set,odds_rank_ascending
2025_07,2025_H2,1120250701010002,1-2-3,3-2-1,812.1,0.0009218973650937443,0,0.0,BANTE+BANTE+BANTE,5
2025_07,2025_H2,1120250701010002,1-2-3,2-3-1,1031.2,0.0007260209951441326,0,0.0,BANTE+BANTE+BANTE,6
2025_07,2025_H2,1120250701010007,1-2-3,1-2-3,20.1,0.03726915666247751,0,0.0,BANTE+ESCAPE_HEAD+RYO_HEAD,1
2025_07,2025_H2,1120250701010007,1-2-3,1-3-2,33.5,0.02236149399748651,0,0.0,BANTE+ESCAPE_HEAD+RYO_HEAD,2
2025_07,2025_H2,1120250701010007,1-2-3,2-1-3,49.8,0.015042370460156588,0,0.0,BANTE+ESCAPE_HEAD+RYO_HEAD,3
2025_07,2025_H2,1120250701010007,1-2-3,2-3-1,56.1,0.013353120301529377,0,0.0,BANTE+ESCAPE_HEAD+RYO_HEAD,4
2025_07,2025_H2,1120250701010007,1-2-3,3-2-1,65.0,0.011524769983319971,0,0.0,BANTE+ESCAPE_HEAD+RYO_HEAD,5
2025_07,2025_H2,1120250701010007,1-2-3,3-1-2,75.3,0.009948340623051766,0,0.0,BANTE+ESCAPE_HEAD+RYO_HEAD,6
2025_07,2025_H2,1120250701020002,1-2-3,2-1-3,128.8,0.005813516058053158,0,0.0,BANTE+BANTE+BANTE,1
2025_07,2025_H2,1120250701020002,1-2-3,2-3-1,151.2,0.004952254419823061,0,0.0,BANTE+BANTE+BANTE,2
2025_07,2025_H2,1120250701020002,1-2-3,1-2-3,167.7,0.004465002196047984,0,0.0,BANTE+BANTE+BANTE,3
2025_07,2025_H2,1120250701020002,1-2-3,1-3-2,279.7,0.002677085692803886,0,0.0,BANTE+BANTE+BANTE,4
2025_07,2025_H2,1120250701020002,1-2-3,3-2-1,327.0,0.0022898497500833236,0,0.0,BANTE+BANTE+BANTE,5
2025_07,2025_H2,1120250701020002,1-2-3,3-1-2,371.8,0.002013934556958706,0,0.0,BANTE+BANTE+BANTE,6
