month,race_id,date,venue,race_no,line,target,actual,candidate_sets,best_overlap,n_best_variants,miss_roles,extra_roles,one_replacement,extra_frame,extra_role,missing_frame,missing_role,score_gap_missing_minus_extra,detail
2026_01,4720251231030007,2026-01-02,matsusaka,7,2-7/3-6/4-5/1,2,1-5-3,3-5-7,2,1,solo,popular_pos2,1,7,popular_pos2,1,solo,-6.049999999999997,extra7:popular_pos2:s88.66->miss1:solo:s82.61:gap-6.05
2026_01,4720251231030008,2026-01-02,matsusaka,8,4-3/1-5/7-2/6,4,6-1-5,2-3-5,1,1,other_head|solo,other_pos2|popular_pos2,0,,,,,,
2026_02,2320260131020007,2026-02-01,toride,7,2-4/7-3-5/6-1,6,2-7-1,1-2-3,2,1,other_head,other_pos2,1,3,other_pos2,7,other_head,-1.8599999999999994,extra3:other_pos2:s94.41->miss7:other_head:s92.55:gap-1.86
2026_02,3820260131030007,2026-02-02,shizuoka,7,4-1/5-2-6/7-3,5,2-6-4,2-3-6|1-2-6,2,2,other_head,other_pos2,1,3,other_pos2,4,other_head,-0.5,extra3:other_pos2:s86.00->miss4:other_head:s85.50:gap-0.50 ; extra1:other_pos2:s84.46->miss4:other_head:s85.50:gap+1.04
2026_02,2320260131030007,2026-02-02,toride,7,4-1/6-2/3-7-5,3,1-7-6,1-5-7,2,1,other_head,popular_pos3plus,1,5,popular_pos3plus,6,other_head,-5.6200000000000045,extra5:popular_pos3plus:s93.62->miss6:other_head:s88.00:gap-5.62
2026_02,2420260131030001,2026-02-02,utsunomiya,1,4-1-3/5-2-7/6,5,6-1-3,1-2-7,1,1,other_pos3plus|solo,popular_pos2|popular_pos3plus,0,,,,,,
2026_02,2420260131030003,2026-02-02,utsunomiya,3,7-2/1/3-5/4-6,3,7-5-1,1-2-5,2,1,other_head,other_pos2,1,2,other_pos2,7,other_head,-2.6400000000000006,extra2:other_pos2:s87.59->miss7:other_head:s84.95:gap-2.64
2026_02,5520260202010001,2026-02-02,wakayama,1,4-7-1/3/2-5-6,2,5-4-6,4-5-7,2,1,popular_pos3plus,other_pos2,1,7,other_pos2,6,popular_pos3plus,-8.730000000000004,extra7:other_pos2:s83.42->miss6:popular_pos3plus:s74.69:gap-8.73
2026_03,6220260228020001,2026-03-01,hiroshima,1,7-2-4/3-6/1-5,7,1-5-2,2-4-5,2,1,other_head,popular_pos3plus,1,4,popular_pos3plus,1,other_head,0.7000000000000028,extra4:popular_pos3plus:s81.13->miss1:other_head:s81.83:gap+0.70
2026_03,2720260301010009,2026-03-01,keiokaku,9,3-5/1-7-4/6-2,1,3-7-5,4-5-7,2,1,other_head,popular_pos3plus,1,4,popular_pos3plus,3,other_head,2.0500000000000114,extra4:popular_pos3plus:s81.88->miss3:other_head:s83.93:gap+2.05
2026_03,5320260227030004,2026-03-01,nara,4,3-1-7/2/6-4-5,3,4-6-5,1-4-5,2,1,other_head,popular_pos2,1,1,popular_pos2,6,other_head,-6.079999999999998,extra1:popular_pos2:s85.37->miss6:other_head:s79.29:gap-6.08
2026_03,5320260227030007,2026-03-01,nara,7,4-2/1/3-7-5-6,3,7-6-5,2-5-7,2,1,popular_pos3plus,other_pos2,1,2,other_pos2,6,popular_pos3plus,-6.38000000000001,extra2:other_pos2:s94.34->miss6:popular_pos3plus:s87.96:gap-6.38
