month,period,race_id,ticket,odds,market_p,actual_hit,return_units,group_score_percentile,trio_mean_delta,unordered_role_set,trio_key,odds_rank_ascending
2025_06,2025_H1,1120250602030001,1-6-5,586.8,0.0012771179291004,0,0.0,0.4571428571428571,-0.0752380952380917,BANTE+RYO+RYO,1-5-6,5
2025_06,2025_H1,1120250602030001,6-1-5,653.8,0.0011462416653351,0,0.0,0.4571428571428571,-0.0752380952380917,BANTE+RYO+RYO,1-5-6,6
2025_06,2025_H1,1120250602030002,2-3-1,20.6,0.0363685472170278,0,0.0,0.0285714285714285,2.598095238095226,BANTE+BANTE+RYO,1-2-3,1
2025_06,2025_H1,1120250602030002,2-1-3,35.8,0.0209271528678986,0,0.0,0.0285714285714285,2.598095238095226,BANTE+BANTE+RYO,1-2-3,2
2025_06,2025_H1,1120250602030002,3-2-1,47.5,0.0157724646878057,0,0.0,0.0285714285714285,2.598095238095226,BANTE+BANTE+RYO,1-2-3,3
2025_06,2025_H1,1120250602030002,3-1-2,94.5,0.0079279584409605,0,0.0,0.0285714285714285,2.598095238095226,BANTE+BANTE+RYO,1-2-3,4
2025_06,2025_H1,1120250602030002,1-2-3,118.6,0.0063169651995849,0,0.0,0.0285714285714285,2.598095238095226,BANTE+BANTE+RYO,1-2-3,5
2025_06,2025_H1,1120250602030002,1-3-2,154.2,0.0048585737527287,0,0.0,0.0285714285714285,2.598095238095226,BANTE+BANTE+RYO,1-2-3,6
2025_06,2025_H1,1120250602030002,2-1-5,35.8,0.0209271528678986,0,0.0,0.1142857142857142,1.6114285714285614,BANTE+BANTE+RYO,1-2-5,1
2025_06,2025_H1,1120250602030002,2-5-1,42.3,0.0177113965170395,0,0.0,0.1142857142857142,1.6114285714285614,BANTE+BANTE+RYO,1-2-5,2
2025_06,2025_H1,1120250602030002,5-1-2,57.2,0.0130977635082302,0,0.0,0.1142857142857142,1.6114285714285614,BANTE+BANTE+RYO,1-2-5,3
2025_06,2025_H1,1120250602030002,5-2-1,80.3,0.00932991373189,0,0.0,0.1142857142857142,1.6114285714285614,BANTE+BANTE+RYO,1-2-5,4
2025_06,2025_H1,1120250602030002,1-5-2,88.5,0.0084654471488222,0,0.0,0.1142857142857142,1.6114285714285614,BANTE+BANTE+RYO,1-2-5,5
2025_06,2025_H1,1120250602030002,1-2-5,110.5,0.0067800187572015,0,0.0,0.1142857142857142,1.6114285714285614,BANTE+BANTE+RYO,1-2-5,6
2025_06,2025_H1,1120250602030002,2-6-1,83.7,0.0089509208204393,0,0.0,0.2285714285714285,1.0114285714285625,BANTE+BANTE+RYO,1-2-6,1
2025_06,2025_H1,1120250602030002,2-1-6,114.5,0.0065431622067316,0,0.0,0.2285714285714285,1.0114285714285625,BANTE+BANTE+RYO,1-2-6,2
2025_06,2025_H1,1120250602030002,6-2-1,267.5,0.0028007180286757,0,0.0,0.2285714285714285,1.0114285714285625,BANTE+BANTE+RYO,1-2-6,3
2025_06,2025_H1,1120250602030002,1-2-6,390.7,0.0019175635338386,0,0.0,0.2285714285714285,1.0114285714285625,BANTE+BANTE+RYO,1-2-6,4
2025_06,2025_H1,1120250602030002,6-1-2,413.7,0.0018109549738234,0,0.0,0.2285714285714285,1.0114285714285625,BANTE+BANTE+RYO,1-2-6,5
2025_06,2025_H1,1120250602030002,1-6-2,476.3,0.0015729415760461,0,0.0,0.2285714285714285,1.0114285714285625,BANTE+BANTE+RYO,1-2-6,6
2025_07,2025_H2,1120250701010002,1-2-3,212.8,0.0035181994839879,0,0.0,0.0285714285714285,2.2066666666666683,BANTE+BANTE+RYO,1-2-3,1
2025_07,2025_H2,1120250701010002,1-3-2,271.9,0.002753486024982,0,0.0,0.0285714285714285,2.2066666666666683,BANTE+BANTE+RYO,1-2-3,2
2025_07,2025_H2,1120250701010002,2-1-3,726.1,0.0010310877980892,0,0.0,0.0285714285714285,2.2066666666666683,BANTE+BANTE+RYO,1-2-3,3
2025_07,2025_H2,1120250701010002,3-1-2,800.1,0.0009357240972286,0,0.0,0.0285714285714285,2.2066666666666683,BANTE+BANTE+RYO,1-2-3,4
2025_07,2025_H2,1120250701010002,3-2-1,812.1,0.0009218973650937,0,0.0,0.0285714285714285,2.2066666666666683,BANTE+BANTE+RYO,1-2-3,5
2025_07,2025_H2,1120250701010002,2-3-1,1031.2,0.0007260209951441,0,0.0,0.0285714285714285,2.2066666666666683,BANTE+BANTE+RYO,1-2-3,6
2025_07,2025_H2,1120250701010002,1-5-3,313.5,0.0023881111648887,0,0.0,0.2,1.2433333333333347,BANTE+RYO+RYO,1-3-5,1
2025_07,2025_H2,1120250701010002,1-3-5,450.5,0.0016618709216262,0,0.0,0.2,1.2433333333333347,BANTE+RYO+RYO,1-3-5,2
2025_07,2025_H2,1120250701010002,5-1-3,703.7,0.0010639091234796,0,0.0,0.2,1.2433333333333347,BANTE+RYO+RYO,1-3-5,3
2025_07,2025_H2,1120250701010002,3-1-5,1321.3,0.0005666183684194,0,0.0,0.2,1.2433333333333347,BANTE+RYO+RYO,1-3-5,4
2025_07,2025_H2,1120250701010002,5-3-1,1606.2,0.0004661143383094,0,0.0,0.2,1.2433333333333347,BANTE+RYO+RYO,1-3-5,5
2025_07,2025_H2,1120250701010002,3-5-1,2118.0,0.0003534810435281,0,0.0,0.2,1.2433333333333347,BANTE+RYO+RYO,1-3-5,6
2025_07,2025_H2,1120250701010007,1-2-4,33.0,0.0227003045125999,0,0.0,0.0571428571428571,3.197619047619033,BANTE+BANTE+RYO,1-2-4,1
2025_07,2025_H2,1120250701010007,1-4-2,57.9,0.012937997390601,0,0.0,0.0571428571428571,3.197619047619033,BANTE+BANTE+RYO,1-2-4,2
2025_07,2025_H2,1120250701010007,2-1-4,81.9,0.0091466428439047,0,0.0,0.0571428571428571,3.197619047619033,BANTE+BANTE+RYO,1-2-4,3
2025_07,2025_H2,1120250701010007,2-4-1,145.4,0.0051520636101499,0,0.0,0.0571428571428571,3.197619047619033,BANTE+BANTE+RYO,1-2-4,4
2025_07,2025_H2,1120250701010007,4-1-2,173.5,0.0043176371695435,0,0.0,0.0571428571428571,3.197619047619033,BANTE+BANTE+RYO,1-2-4,5
2025_07,2025_H2,1120250701010007,4-2-1,288.9,0.0025929735164963,0,0.0,0.0571428571428571,3.197619047619033,BANTE+BANTE+RYO,1-2-4,6
2025_07,2025_H2,1120250701010007,2-4-5,341.3,0.002194872689469,0,0.0,0.3714285714285714,0.6609523809523665,BANTE+BANTE+BANTE,2-4-5,1
2025_07,2025_H2,1120250701010007,2-5-4,422.4,0.0017734612900468,0,0.0,0.3714285714285714,0.6609523809523665,BANTE+BANTE+BANTE,2-4-5,2
2025_07,2025_H2,1120250701010007,4-2-5,683.6,0.0010958309668165,0,0.0,0.3714285714285714,0.6609523809523665,BANTE+BANTE+BANTE,2-4-5,3
2025_07,2025_H2,1120250701010007,5-2-4,924.6,0.0008101990578799,0,0.0,0.3714285714285714,0.6609523809523665,BANTE+BANTE+BANTE,2-4-5,4
2025_07,2025_H2,1120250701010007,4-5-2,978.0,0.0007659611952104,0,0.0,0.3714285714285714,0.6609523809523665,BANTE+BANTE+BANTE,2-4-5,5
2025_07,2025_H2,1120250701010007,5-4-2,1262.9,0.000593166560231,0,0.0,0.3714285714285714,0.6609523809523665,BANTE+BANTE+BANTE,2-4-5,6
2025_07,2025_H2,1120250701020002,2-1-3,128.8,0.0058135160580531,0,0.0,0.0285714285714285,4.072857142857155,BANTE+BANTE+BANTE,1-2-3,1
2025_07,2025_H2,1120250701020002,2-3-1,151.2,0.004952254419823,0,0.0,0.0285714285714285,4.072857142857155,BANTE+BANTE+BANTE,1-2-3,2
2025_07,2025_H2,1120250701020002,1-2-3,167.7,0.0044650021960479,0,0.0,0.0285714285714285,4.072857142857155,BANTE+BANTE+BANTE,1-2-3,3
2025_07,2025_H2,1120250701020002,1-3-2,279.7,0.0026770856928038,0,0.0,0.0285714285714285,4.072857142857155,BANTE+BANTE+BANTE,1-2-3,4
2025_07,2025_H2,1120250701020002,3-2-1,327.0,0.0022898497500833,0,0.0,0.0285714285714285,4.072857142857155,BANTE+BANTE+BANTE,1-2-3,5
2025_07,2025_H2,1120250701020002,3-1-2,371.8,0.0020139345569587,0,0.0,0.0285714285714285,4.072857142857155,BANTE+BANTE+BANTE,1-2-3,6
2025_07,2025_H2,1120250701020002,4-1-2,4.6,0.1627784496254884,1,4.6,0.0571428571428571,4.042857142857154,BANTE+BANTE+RYO,1-2-4,1
2025_07,2025_H2,1120250701020002,4-2-1,8.1,0.0924420825033638,0,0.0,0.0571428571428571,4.042857142857154,BANTE+BANTE+RYO,1-2-4,2
2025_07,2025_H2,1120250701020002,1-4-2,22.3,0.0335776174115357,0,0.0,0.0571428571428571,4.042857142857154,BANTE+BANTE+RYO,1-2-4,3
2025_07,2025_H2,1120250701020002,2-4-1,23.1,0.0324147562024782,0,0.0,0.0571428571428571,4.042857142857154,BANTE+BANTE+RYO,1-2-4,4
2025_07,2025_H2,1120250701020002,2-1-4,50.0,0.0149756173655449,0,0.0,0.0571428571428571,4.042857142857154,BANTE+BANTE+RYO,1-2-4,5
2025_07,2025_H2,1120250701020002,1-2-4,68.4,0.0109470887175036,0,0.0,0.0571428571428571,4.042857142857154,BANTE+BANTE+RYO,1-2-4,6
2025_07,2025_H2,1120250701020002,2-3-7,433.7,0.0017264949695117,0,0.0,0.6285714285714286,-0.7638095238095133,BANTE+BANTE+RYO,2-3-7,1
2025_07,2025_H2,1120250701020002,2-7-3,697.8,0.0010730594271671,0,0.0,0.6285714285714286,-0.7638095238095133,BANTE+BANTE+RYO,2-3-7,2
2025_07,2025_H2,1120250701020002,3-2-7,715.1,0.0010470995221329,0,0.0,0.6285714285714286,-0.7638095238095133,BANTE+BANTE+RYO,2-3-7,3
2025_07,2025_H2,1120250701020002,3-7-2,1198.2,0.0006249214390562,0,0.0,0.6285714285714286,-0.7638095238095133,BANTE+BANTE+RYO,2-3-7,4
2025_07,2025_H2,1120250701020002,7-2-3,1483.8,0.0005046373286677,0,0.0,0.6285714285714286,-0.7638095238095133,BANTE+BANTE+RYO,2-3-7,5
2025_07,2025_H2,1120250701020002,7-3-2,1662.4,0.000450421600263,0,0.0,0.6285714285714286,-0.7638095238095133,BANTE+BANTE+RYO,2-3-7,6
2025_07,2025_H2,1120250701020002,4-2-7,62.5,0.0119804938924359,0,0.0,0.7142857142857143,-0.7938095238095144,BANTE+RYO+RYO,2-4-7,1
2025_07,2025_H2,1120250701020002,2-4-7,128.2,0.0058407244015385,0,0.0,0.7142857142857143,-0.7938095238095144,BANTE+RYO+RYO,2-4-7,2
2025_07,2025_H2,1120250701020002,4-7-2,179.9,0.0041622060493454,0,0.0,0.7142857142857143,-0.7938095238095144,BANTE+RYO+RYO,2-4-7,3
2025_07,2025_H2,1120250701020002,2-7-4,525.7,0.0014243501393898,0,0.0,0.7142857142857143,-0.7938095238095144,BANTE+RYO+RYO,2-4-7,4
2025_07,2025_H2,1120250701020002,7-4-2,740.1,0.0010117293180343,0,0.0,0.7142857142857143,-0.7938095238095144,BANTE+RYO+RYO,2-4-7,5
2025_07,2025_H2,1120250701020002,7-2-4,820.5,0.0009125909424463,0,0.0,0.7142857142857143,-0.7938095238095144,BANTE+RYO+RYO,2-4-7,6
2025_07,2025_H2,1120250701020005,1-2-3,102.9,0.0072646157251772,0,0.0,0.0285714285714285,5.18952380952382,BANTE+BANTE+RYO,1-2-3,1
2025_07,2025_H2,1120250701020005,1-3-2,113.4,0.0065919661209941,0,0.0,0.0285714285714285,5.18952380952382,BANTE+BANTE+RYO,1-2-3,2
2025_07,2025_H2,1120250701020005,3-1-2,257.0,0.0029086729887966,0,0.0,0.0285714285714285,5.18952380952382,BANTE+BANTE+RYO,1-2-3,3
2025_07,2025_H2,1120250701020005,2-1-3,313.4,0.0023852232231038,0,0.0,0.0285714285714285,5.18952380952382,BANTE+BANTE+RYO,1-2-3,4
2025_07,2025_H2,1120250701020005,3-2-1,319.1,0.0023426166033241,0,0.0,0.0285714285714285,5.18952380952382,BANTE+BANTE+RYO,1-2-3,5
2025_07,2025_H2,1120250701020005,2-3-1,606.5,0.0012325291972312,0,0.0,0.0285714285714285,5.18952380952382,BANTE+BANTE+RYO,1-2-3,6
2025_07,2025_H2,1120250701020005,3-2-6,945.1,0.00079095223587,1,945.1,0.4285714285714285,0.3828571428571526,BANTE+RYO+RYO,2-3-6,1
2025_07,2025_H2,1120250701020005,3-6-2,1625.5,0.0004598763199758,0,0.0,0.4285714285714285,0.3828571428571526,BANTE+RYO+RYO,2-3-6,2
2025_07,2025_H2,1120250701020005,2-3-6,1760.5,0.000424611734235,0,0.0,0.4285714285714285,0.3828571428571526,BANTE+RYO+RYO,2-3-6,3
2025_07,2025_H2,1120250701020005,6-2-3,1861.3,0.0004016165895453,0,0.0,0.4285714285714285,0.3828571428571526,BANTE+RYO+RYO,2-3-6,4
2025_07,2025_H2,1120250701020005,6-3-2,2367.3,0.0003157728036669,0,0.0,0.4285714285714285,0.3828571428571526,BANTE+RYO+RYO,2-3-6,5
2025_07,2025_H2,1120250701020005,2-6-3,2553.2,0.0002927811993266,0,0.0,0.4285714285714285,0.3828571428571526,BANTE+RYO+RYO,2-3-6,6
2025_07,2025_H2,1120250701020007,1-2-4,115.1,0.006502069821176,0,0.0,0.0571428571428571,4.848095238095236,BANTE+BANTE+RYO,1-2-4,1
2025_07,2025_H2,1120250701020007,1-4-2,167.1,0.0044786848379255,0,0.0,0.0571428571428571,4.848095238095236,BANTE+BANTE+RYO,1-2-4,2
2025_07,2025_H2,1120250701020007,2-1-4,267.3,0.0027998063464921,0,0.0,0.0571428571428571,4.848095238095236,BANTE+BANTE+RYO,1-2-4,3
2025_07,2025_H2,1120250701020007,4-1-2,646.6,0.0011574207182452,0,0.0,0.0571428571428571,4.848095238095236,BANTE+BANTE+RYO,1-2-4,4
2025_07,2025_H2,1120250701020007,2-4-1,676.7,0.001105937987908,0,0.0,0.0571428571428571,4.848095238095236,BANTE+BANTE+RYO,1-2-4,5
2025_07,2025_H2,1120250701020007,4-2-1,964.7,0.0007757730241705,0,0.0,0.0571428571428571,4.848095238095236,BANTE+BANTE+RYO,1-2-4,6
2025_07,2025_H2,1120250701020007,5-2-4,112.6,0.0066464319397633,0,0.0,0.4857142857142857,0.0880952380952351,BANTE+BANTE+RYO,2-4-5,1
2025_07,2025_H2,1120250701020007,2-5-4,180.6,0.0041438994264527,0,0.0,0.4857142857142857,0.0880952380952351,BANTE+BANTE+RYO,2-4-5,2
2025_07,2025_H2,1120250701020007,5-4-2,248.7,0.0030092007897762,0,0.0,0.4857142857142857,0.0880952380952351,BANTE+BANTE+RYO,2-4-5,3
2025_07,2025_H2,1120250701020007,2-4-5,501.9,0.00149111025387,0,0.0,0.4857142857142857,0.0880952380952351,BANTE+BANTE+RYO,2-4-5,4
2025_07,2025_H2,1120250701020007,4-5-2,665.7,0.0011242124626969,0,0.0,0.4857142857142857,0.0880952380952351,BANTE+BANTE+RYO,2-4-5,5
2025_07,2025_H2,1120250701020007,4-2-5,811.7,0.0009220010304513,0,0.0,0.4857142857142857,0.0880952380952351,BANTE+BANTE+RYO,2-4-5,6
2025_07,2025_H2,1120250701030002,2-6-3,725.5,0.001032293085424,0,0.0,0.65,-0.450000000000017,BANTE+BANTE+RYO,2-3-6,1
2025_07,2025_H2,1120250701030002,6-2-3,730.2,0.0010256486352713,0,0.0,0.65,-0.450000000000017,BANTE+BANTE+RYO,2-3-6,2
2025_07,2025_H2,1120250701030002,2-3-6,796.2,0.000940628778542,0,0.0,0.65,-0.450000000000017,BANTE+BANTE+RYO,2-3-6,3
2025_07,2025_H2,1120250701030002,3-6-2,1106.2,0.000677028234926,0,0.0,0.65,-0.450000000000017,BANTE+BANTE+RYO,2-3-6,4
2025_07,2025_H2,1120250701030002,3-2-6,1172.0,0.0006390176053542,0,0.0,0.65,-0.450000000000017,BANTE+BANTE+RYO,2-3-6,5
2025_07,2025_H2,1120250701030002,6-3-2,1218.9,0.0006144299232711,0,0.0,0.65,-0.450000000000017,BANTE+BANTE+RYO,2-3-6,6
2025_07,2025_H2,1120250701030002,5-6-3,172.9,0.0043315710438123,0,0.0,0.95,-2.27333333333335,BANTE+BANTE+RYO,3-5-6,1
2025_07,2025_H2,1120250701030002,5-3-6,245.5,0.0030506257982694,0,0.0,0.95,-2.27333333333335,BANTE+BANTE+RYO,3-5-6,2
