month,race_id,trio_key,group_score_percentile,role_ok,top3_spread,unordered_role_set,group_market_p,effective_group_odds,entropy_norm,hhi,rank1_conditional_share,rank6_conditional_share,rank1_to_rank6_share_ratio,group_hit,winner_odds_rank,rank1_exact_hit,rank1_posted_odds,rank1_order,rank1_exact_market_p,race_uid
2022_01,7520220106020012,1-4-7,0.3142857142857143,1,1,BANTE+RYO+RYO,0.12256590624625538,8.158875747965613,0.8264816036435908,0.2798964478426894,0.4237563248072979,0.05224393045569426,8.11111111111111,0,,0,14.4,1-7-4,0.051938077977589016,2022_01|7520220106020012
2022_01,4420220107010007,2-3-5,0.22857142857142856,1,0,BANTE+BANTE+RYO,0.0054717493226490955,182.7569102737805,0.9202773464893456,0.21707395298859689,0.34320223091159663,0.06733617920552629,5.096847414880202,0,,0,396.5,2-3-5,0.0018779165745221873,2022_01|4420220107010007
2022_01,4420220107010007,2-3-7,0.4,1,0,BANTE+BANTE+BANTE,0.0020618076327128575,485.0112998583837,0.8486162124413387,0.27208706683875367,0.4418652463941302,0.05997450234624638,7.3675516946041855,0,,0,817.3,2-3-7,0.0009110411376459651,2022_01|4420220107010007
2022_01,8520220107020002,2-3-7,0.3142857142857143,1,0,BANTE+RYO+RYO,0.026051577331301184,38.385391689834144,0.9863541197678521,0.17472559715998556,0.21631971773302708,0.11958773080998043,1.8088788562829197,0,,0,132.9,3-7-2,0.005635469854807199,2022_01|8520220107020002
2022_01,2620220107020009,1-5-6,0.4,1,0,BANTE+RYO+RYO,0.007981138975751364,125.29539994708055,0.9380263167288442,0.20304322476880754,0.2861361417949429,0.07766450880217131,3.684258694325808,0,,0,327.8,1-5-6,0.0022836923136507377,2022_01|2620220107020009
2022_01,3520220108030009,1-4-6,0.2571428571428571,1,0,BANTE+BANTE+BANTE,0.00848446589062746,117.86245744763622,0.68722014698274,0.40940338184581687,0.6039094213566194,0.033746108265574684,17.895676046671245,0,,0,145.7,1-4-6,0.005123848886528805,2022_01|3520220108030009
2022_01,4220220108010002,1-2-5,0.2857142857142857,1,0,BANTE+BANTE+RYO,0.009942221489608955,100.58114286079255,0.934820083788168,0.20787686177740833,0.3175157782792372,0.08512766262079198,3.729877791824695,0,,0,237.3,2-5-1,0.0031568121940977445,2022_01|4220220108010002
2022_01,4220220108010002,1-4-5,0.2571428571428571,1,0,BANTE+BANTE+RYO,0.007344724836658702,136.15213942513398,0.9887710134769931,0.17311144516410398,0.20964673787414154,0.11327536425563067,1.850770811921891,0,,0,486.5,4-5-1,0.001539797602588684,2022_01|4220220108010002
2022_01,4220220108010003,1-4-7,0.2857142857142857,1,0,BANTE+BANTE+RYO,0.006540780264644718,152.88695836571083,0.9934426921556863,0.17072205658020104,0.2174582479367059,0.1350015781691034,1.6107830062869117,0,,0,524.9,4-7-1,0.001422346616488624,2022_01|4220220108010003
2022_01,4220220108010003,4-6-7,0.37142857142857144,1,0,BANTE+BANTE+BANTE,0.0022054583312633323,453.42049125325315,0.950902949407688,0.19805122128725333,0.3025463278395709,0.0978237498106331,3.092769684511574,0,,0,1118.9,4-7-6,0.0006672533193269091,2022_01|4220220108010003
2022_01,4220220108010004,3-4-7,0.3142857142857143,1,0,BANTE+BANTE+BANTE,0.004570238709726605,218.80695156507937,0.9767202004236424,0.18153606608545794,0.26473155078229765,0.11709243711903185,2.260876597121139,0,,0,618.3,4-7-3,0.0012098863810712111,2022_01|4220220108010004
2022_01,4220220108010005,2-4-6,0.34285714285714286,1,0,BANTE+BANTE+RYO,0.005916940819349667,169.00625348994285,0.9433231325147613,0.203088869182196,0.30994776152952647,0.09302077146432877,3.3320274240940257,0,,0,408.4,4-2-6,0.0018339425620601114,2022_01|4220220108010005
2022_01,4220220108030011,1-3-7,0.2857142857142857,1,0,BANTE+RYO+RYO,0.0730462506315431,13.689956587151324,0.8222631955579084,0.2680229048608166,0.36234798221382164,0.030177892574017515,12.007067137809187,0,,0,28.3,7-3-1,0.026468161524624736,2022_01|4220220108030011
2022_01,7120220108010008,1-4-5,0.3142857142857143,1,0,BANTE+BANTE+RYO,0.007672698888164483,130.33223570685792,0.9838150855066466,0.1767114300700299,0.2455676082483018,0.11265950062692415,2.1797327955633983,0,,0,396.7,5-1-4,0.0018841663147759564,2022_01|7120220108010008
2022_01,7120220108010008,3-4-7,0.34285714285714286,1,0,BANTE+BANTE+RYO,0.013434480349704186,74.43533162203919,0.8858409926844487,0.24635347629933038,0.4078929442215089,0.06434208117475866,6.339442815249267,0,,0,136.4,3-7-4,0.005479829743926847,2022_01|7120220108010008
2022_01,7120220108010011,2-3-5,0.4,1,0,BANTE+BANTE+RYO,0.006742284942430664,148.31767101784482,0.9760257283622292,0.18230736610080098,0.271932455913203,0.11328894881855461,2.400344064880806,0,,0,406.9,5-2-3,0.0018334461028617789,2022_01|7120220108010011
2022_01,7120220108010011,3-5-7,0.2857142857142857,1,0,BANTE+BANTE+BANTE,0.008473426160174935,118.01601631934854,0.940524050099212,0.2057349198929563,0.3196927978004537,0.09494596841825187,3.3671023965141607,0,,0,275.4,5-7-3,0.00270889331610188,2022_01|7120220108010011
2022_01,7120220108020011,3-5-7,0.34285714285714286,1,0,BANTE+BANTE+RYO,0.03760116559066024,26.59492024492959,0.8815942627533194,0.23859697005955408,0.3656715533866316,0.04361807760904229,8.383486238532111,0,,0,54.5,7-5-3,0.01374967663068469,2022_01|7120220108020011
2022_01,7120220108010012,1-2-3,0.37142857142857144,1,1,BANTE+RYO+RYO,0.010714270721115447,93.3334639406882,0.9278371062283952,0.2123190360391253,0.3242892263530288,0.075133390036894,4.316179879462216,0,,0,215.7,3-2-1,0.0034745225630874363,2022_01|7120220108010012
2022_01,7120220108010012,2-3-7,0.22857142857142856,1,1,BANTE+BANTE+RYO,0.013500792227275875,74.06972740308404,0.9169633201515716,0.21719036296008126,0.29653788335832887,0.06546213651495184,4.529914529914531,0,,0,187.2,3-2-7,0.004003496350736966,2022_01|7120220108010012
2022_01,3820220109020002,3-5-6,0.2857142857142857,1,1,BANTE+RYO+RYO,0.0217775283927951,45.91889318031338,0.9134902764760198,0.22145686816481588,0.31136713185448206,0.0818061193639572,3.806159420289856,0,,0,110.4,5-6-3,0.006780806554544158,2022_01|3820220109020002
