split,month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
TRAIN,2025_05,2420250501030003,OH_EQ,2,0.0,monthly,1-3-6,1-3-6,1-3-6,1-2-6,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2420250501030003,OH_HIGH,2,0.0,monthly,1-3-4|1-3-6,1-3-4|1-3-6,1-3-4|1-3-6,1-2-6,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2420250501030003,OH_TOP,2,0.0,monthly,1-3-4,1-3-4,1-3-4,1-2-6,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2420250501020005,BASE,1,0.0,monthly,2-4-5,2-4-5,2-4-5,3-1-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2420250501020005,OH_EQ,1,0.0,monthly,,,,3-1-4,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,2420250501020005,OH_HIGH,1,0.0,monthly,2-3-4|2-3-5,2-3-4|2-3-5,2-3-4|2-3-5,3-1-4,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2420250501020005,OH_TOP,1,0.0,monthly,,,,3-1-4,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,2120250501010006,BASE,5,0.0,monthly,2-3-7,7-3-2,7-3-2,5-4-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501010006,OH_EQ,5,0.0,monthly,1-3-7|2-3-7,7-3-1|7-3-2,7-3-1|7-3-2,5-4-1,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2120250501010006,OH_HIGH,5,0.0,monthly,,,,5-4-1,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,2120250501010006,OH_TOP,5,0.0,monthly,1-3-7,7-3-1,7-3-1,5-4-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020006,BASE,1,0.0,monthly,,,,3-1-7,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,2120250501020006,OH_EQ,1,0.0,monthly,3-5-7,3-5-7,3-5-7,3-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020006,OH_HIGH,1,0.0,monthly,3-5-7,3-5-7,3-5-7,3-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020006,OH_TOP,1,0.0,monthly,3-5-7,3-5-7,3-5-7,3-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501030006,BASE,5,0.0,monthly,2-3-7,3-7-2,,3-7-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2120250501030006,OH_EQ,5,0.0,monthly,2-3-7,3-7-2,,3-7-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2120250501030006,OH_HIGH,5,0.0,monthly,2-3-7,3-7-2,,3-7-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2120250501030006,OH_TOP,5,0.0,monthly,2-3-7,3-7-2,,3-7-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2120250501010007,BASE,7,1.0,monthly,1-2-5,2-1-5,2-1-5,1-5-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501010007,OH_EQ,7,1.0,monthly,,,,1-5-4,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,2120250501010007,OH_HIGH,7,1.0,monthly,1-2-5|1-2-3,2-1-5|2-1-3,2-1-5|2-1-3,1-5-4,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2120250501010007,OH_TOP,7,1.0,monthly,,,,1-5-4,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,2120250501020007,BASE,1,1.0,monthly,3-4-5,5-4-3,5-4-3,5-6-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020007,OH_EQ,1,1.0,monthly,4-5-7,5-4-7,5-4-7,5-6-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020007,OH_HIGH,1,1.0,monthly,4-5-7,5-4-7,5-4-7,5-6-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020007,OH_TOP,1,1.0,monthly,4-5-7,5-4-7,5-4-7,5-6-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501030007,BASE,7,1.0,monthly,2-3-5,2-3-5,,2-4-3,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2120250501030007,OH_EQ,7,1.0,monthly,,,,2-4-3,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,2120250501030007,OH_HIGH,7,1.0,monthly,1-2-3|1-2-5,2-3-1|2-5-1,2-3-1,2-4-3,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501030007,OH_TOP,7,1.0,monthly,1-2-3|1-2-5,2-3-1|2-5-1,2-3-1,2-4-3,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020008,BASE,3,0.0,monthly,1-4-5,5-1-4,5-1-4,4-3-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020008,OH_EQ,3,0.0,monthly,1-4-5,5-1-4,5-1-4,4-3-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020008,OH_HIGH,3,0.0,monthly,1-2-5|1-4-5,5-1-2|5-1-4,5-1-2|5-1-4,4-3-5,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2120250501020008,OH_TOP,3,0.0,monthly,1-2-5,5-1-2,5-1-2,4-3-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501030008,BASE,3,0.0,monthly,1-4-7,4-1-7,4-1-7,5-3-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501030008,OH_EQ,3,0.0,monthly,1-4-7,4-1-7,4-1-7,5-3-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501030008,OH_HIGH,3,0.0,monthly,1-2-4|1-4-7,4-1-2|4-1-7,4-1-2|4-1-7,5-3-2,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2120250501030008,OH_TOP,3,0.0,monthly,1-2-4,4-1-2,4-1-2,5-3-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020010,BASE,5,0.0,monthly,2-3-7,2-3-7,2-3-7,3-5-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020010,OH_EQ,5,0.0,monthly,2-3-7,2-3-7,2-3-7,3-5-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020010,OH_HIGH,5,0.0,monthly,1-2-3|2-3-7,2-3-1|2-3-7,2-3-1|2-3-7,3-5-2,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2120250501020010,OH_TOP,5,0.0,monthly,1-2-3,2-3-1,2-3-1,3-5-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501010011,BASE,1,,repair_fetched,2-4-5,5-4-2,5-4-2,,,1,,100,0,BET
TRAIN,2025_05,2120250501010011,OH_EQ,1,,repair_fetched,,,,,,0,,0,0,ranking_cycle
TRAIN,2025_05,2120250501010011,OH_HIGH,1,,repair_fetched,,,,,,0,,0,0,ranking_cycle
TRAIN,2025_05,2120250501010011,OH_TOP,1,,repair_fetched,3-4-5|2-3-5,5-4-3|5-2-3,5-4-3|5-2-3,,,1,,200,0,BET
TRAIN,2025_05,2120250501020011,BASE,1,0.0,monthly,3-4-7,3-7-4,3-7-4,3-5-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020011,OH_EQ,1,0.0,monthly,3-4-7,3-7-4,3-7-4,3-5-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020011,OH_HIGH,1,0.0,monthly,3-4-7,3-7-4,3-7-4,3-5-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2120250501020011,OH_TOP,1,0.0,monthly,3-4-7,3-7-4,3-7-4,3-5-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502020001,BASE,7,0.0,monthly,,,,5-7-1,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,5120250502020001,OH_EQ,7,0.0,monthly,,,,5-7-1,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,5120250502020001,OH_HIGH,7,0.0,monthly,1-4-5,1-5-4,,5-7-1,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,5120250502020001,OH_TOP,7,0.0,monthly,,,,5-7-1,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,5120250502030001,BASE,1,0.0,monthly,2-3-6,6-2-3,6-2-3,6-2-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502030001,OH_EQ,1,0.0,monthly,,,,6-2-1,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,5120250502030001,OH_HIGH,1,0.0,monthly,2-5-6,6-2-5,6-2-5,6-2-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502030001,OH_TOP,1,0.0,monthly,2-5-6,6-2-5,6-2-5,6-2-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502020002,BASE,4,1.0,monthly,1-2-5,2-1-5,2-1-5,7-1-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502020002,OH_EQ,4,1.0,monthly,1-2-5,2-1-5,2-1-5,7-1-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502020002,OH_HIGH,4,1.0,monthly,1-2-7|1-2-5,2-1-7|2-1-5,2-1-7|2-1-5,7-1-5,0.0,1,0.0,200,0,BET
TRAIN,2025_05,5120250502020002,OH_TOP,4,1.0,monthly,1-2-7,2-1-7,2-1-7,7-1-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502030002,BASE,4,1.0,monthly,1-3-6,3-1-6,3-1-6,5-1-6,0.0,1,0.0,100,0,BET
