race_id,date,venue,race_no,line,target,ranking,candidates,actual,head_bust,top3_set_match,detail
7420260731030004,2026-08-02,kochi,4,7-1-6/3-5/4-2,7,1-2-3-4-6-5,1-2-3|1-2-4,7-1-6,0.0,0,"1:s=95.39,L=1,p=2,t=4,mr=1,fin=2 | 2:s=88.00,L=3,p=2,t=2,mr=2,fin=7 | 3:s=87.14,L=2,p=1,t=1,mr=3,fin=5 | 4:s=86.04,L=3,p=1,t=1,mr=4,fin=4 | 5:s=81.95,L=2,p=2,t=2,mr=6,fin=6 | 6:s=80.08,L=1,p=3,t=3,mr=5,fin=3 | 7:s=79.66,L=1,p=1,t=1,mr=X,fin=1"
7420260731030005,2026-08-02,kochi,5,7-1/3-5/4-2-6,4,1-2-5-3-6-7,1-2-5,2-1-4,0.0,0,"1:s=93.20,L=1,p=2,t=2,mr=1,fin=2 | 2:s=86.82,L=3,p=2,t=4,mr=2,fin=1 | 3:s=85.12,L=2,p=1,t=1,mr=4,fin=4 | 4:s=84.37,L=3,p=1,t=1,mr=X,fin=3 | 5:s=84.19,L=2,p=2,t=2,mr=3,fin=7 | 6:s=75.38,L=3,p=3,t=3,mr=5,fin=5 | 7:s=73.09,L=1,p=1,t=1,mr=6,fin=6"
8520260731030001,2026-08-02,sasebo,1,4-5-2/6/3-1-7,3,1-5-2-7-4-6,1-5-2|1-2-5,3-1-5,0.0,0,"1:s=84.59,L=3,p=2,t=4,mr=1,fin=2 | 2:s=83.33,L=1,p=3,t=2,mr=3,fin=6 | 3:s=85.15,L=3,p=1,t=1,mr=X,fin=1 | 4:s=76.72,L=1,p=1,t=1,mr=5,fin=4 | 5:s=86.05,L=1,p=2,t=2,mr=2,fin=3 | 6:s=69.09,L=2,p=1,t=1,mr=6,fin=7 | 7:s=74.66,L=3,p=3,t=3,mr=4,fin=5"
8520260731030003,2026-08-02,sasebo,3,5-1-6/2-7/3-4,5,2-1-4-7-3-6,2-1-4|2-1-7,4-2-7,1.0,0,"1:s=87.00,L=1,p=2,t=4,mr=2,fin=7 | 2:s=95.81,L=2,p=1,t=1,mr=1,fin=2 | 3:s=88.68,L=3,p=1,t=1,mr=5,fin=5 | 4:s=88.40,L=3,p=2,t=2,mr=3,fin=1 | 5:s=92.52,L=1,p=1,t=1,mr=X,fin=4 | 6:s=82.25,L=1,p=3,t=3,mr=6,fin=6 | 7:s=86.16,L=2,p=2,t=2,mr=4,fin=3"
6220260803020001,2026-08-04,hiroshima,1,2-6/1-5/4-3,1,5-3-4-6-2,5-3-4,,1.0,0,"1:s=86.57,L=2,p=1,t=1,mr=X,fin=None | 2:s=80.79,L=1,p=1,t=1,mr=5,fin=None | 3:s=84.33,L=3,p=2,t=2,mr=2,fin=None | 4:s=83.33,L=3,p=1,t=1,mr=3,fin=None | 5:s=84.66,L=2,p=2,t=4,mr=1,fin=None | 6:s=78.72,L=1,p=2,t=2,mr=4,fin=None"
6220260803020003,2026-08-04,hiroshima,3,5-3-4/2/7-1-6,5,1-3-4-7-2-6,1-3-4,,1.0,0,"1:s=85.55,L=3,p=2,t=2,mr=1,fin=None | 2:s=80.09,L=2,p=1,t=1,mr=5,fin=None | 3:s=80.40,L=1,p=2,t=4,mr=2,fin=None | 4:s=82.24,L=1,p=3,t=3,mr=3,fin=None | 5:s=81.66,L=1,p=1,t=1,mr=X,fin=None | 6:s=73.92,L=3,p=3,t=2,mr=6,fin=None | 7:s=81.73,L=3,p=1,t=1,mr=4,fin=None"
6220260803020004,2026-08-04,hiroshima,4,7-1-3/6/4-2-5,4,1-2-5-3-7-6,1-2-5,,1.0,0,"1:s=86.55,L=1,p=2,t=2,mr=1,fin=None | 2:s=80.84,L=3,p=2,t=4,mr=2,fin=None | 3:s=80.45,L=1,p=3,t=2,mr=4,fin=None | 4:s=85.42,L=3,p=1,t=1,mr=X,fin=None | 5:s=80.16,L=3,p=3,t=3,mr=3,fin=None | 6:s=76.33,L=2,p=1,t=1,mr=6,fin=None | 7:s=80.70,L=1,p=1,t=1,mr=5,fin=None"
6220260803020005,2026-08-04,hiroshima,5,5-1/3-4-6/7-2,7,1-2-4-6-5-3,1-2-4,,1.0,0,"1:s=98.17,L=1,p=2,t=2,mr=1,fin=None | 2:s=94.42,L=3,p=2,t=4,mr=2,fin=None | 3:s=86.14,L=2,p=1,t=1,mr=6,fin=None | 4:s=90.08,L=2,p=2,t=2,mr=3,fin=None | 5:s=86.43,L=1,p=1,t=1,mr=5,fin=None | 6:s=85.43,L=2,p=3,t=2,mr=4,fin=None | 7:s=91.25,L=3,p=1,t=1,mr=X,fin=None"
6220260803020006,2026-08-04,hiroshima,6,4-1-5/7-2/3-6,4,1-2-5-6-3-7,1-2-5,,1.0,0,"1:s=92.96,L=1,p=2,t=4,mr=1,fin=None | 2:s=94.88,L=2,p=2,t=2,mr=2,fin=None | 3:s=85.88,L=3,p=1,t=1,mr=5,fin=None | 4:s=91.55,L=1,p=1,t=1,mr=X,fin=None | 5:s=87.85,L=1,p=3,t=3,mr=3,fin=None | 6:s=83.12,L=3,p=2,t=2,mr=4,fin=None | 7:s=85.61,L=2,p=1,t=1,mr=6,fin=None"
7320260804010003,2026-08-04,komatsushima,3,7-1/4-2/3-5/6,4,2-3-1-5-7-6,2-3-1|2-3-5,,1.0,0,"1:s=83.37,L=1,p=2,t=2,mr=3,fin=None | 2:s=90.45,L=2,p=2,t=4,mr=1,fin=None | 3:s=88.28,L=3,p=1,t=1,mr=2,fin=None | 4:s=86.35,L=2,p=1,t=1,mr=X,fin=None | 5:s=82.68,L=3,p=2,t=2,mr=4,fin=None | 6:s=79.66,L=4,p=1,t=1,mr=6,fin=None | 7:s=81.90,L=1,p=1,t=1,mr=5,fin=None"
4220260804010001,2026-08-04,nagoya,1,1-7-4/2-5-3/6,1,7-2-4-5-3-6,7-2-4,,1.0,0,"1:s=87.04,L=1,p=1,t=1,mr=X,fin=None | 2:s=87.37,L=2,p=1,t=1,mr=2,fin=None | 3:s=78.66,L=2,p=3,t=2,mr=5,fin=None | 4:s=84.33,L=1,p=3,t=3,mr=3,fin=None | 5:s=83.90,L=2,p=2,t=2,mr=4,fin=None | 6:s=77.80,L=3,p=1,t=1,mr=6,fin=None | 7:s=85.00,L=1,p=2,t=4,mr=1,fin=None"
4220260804010002,2026-08-04,nagoya,2,5-2-3/6/1-4-7,1,4-2-5-7-3-6,4-2-5,,1.0,0,"1:s=82.09,L=3,p=1,t=1,mr=X,fin=None | 2:s=87.45,L=1,p=2,t=2,mr=2,fin=None | 3:s=81.38,L=1,p=3,t=2,mr=5,fin=None | 4:s=87.03,L=3,p=2,t=4,mr=1,fin=None | 5:s=87.91,L=1,p=1,t=1,mr=3,fin=None | 6:s=78.16,L=2,p=1,t=1,mr=6,fin=None | 7:s=82.69,L=3,p=3,t=3,mr=4,fin=None"
4220260804010003,2026-08-04,nagoya,3,5-1-6/4/2-7-3,5,2-1-3-7-4-6,2-1-3|2-1-7,,1.0,0,"1:s=86.88,L=1,p=2,t=4,mr=2,fin=None | 2:s=90.47,L=3,p=1,t=1,mr=1,fin=None | 3:s=84.76,L=3,p=3,t=2,mr=3,fin=None | 4:s=84.00,L=2,p=1,t=1,mr=5,fin=None | 5:s=88.55,L=1,p=1,t=1,mr=X,fin=None | 6:s=78.00,L=1,p=3,t=3,mr=6,fin=None | 7:s=81.80,L=3,p=2,t=2,mr=4,fin=None"
